種類,テキスト,URL
本文,地域クラブ活動は、部活動が担ってきた教育的意義を継承・発展させるものであり、北九州市教育委員会は、所定の要件を満たすことで、地域クラブ活動を行うクラブを「北九州市地域クラブ」として認定しています。所定の要件とは、例えば、教育委員会が主催する研修の受講者による指導、市ガイドラインに準じた活動時間等の設定、営利目的の運営でないことなどです。<br>教育委員会から認定された地域クラブは、学校施設を優先的に利用することができます。,
まずお読みください,「北九州市地域クラブ」申請から認定までの流れ（ＰＤＦ）,#
認定要綱,北九州市地域クラブ認定要綱（ＰＤＦ）,#
認定要綱,部活動地域展開北九州市地域クラブの手引き（PDF）,#
申請書類,（様式第1号）北九州市地域クラブ認定申請書（Excel）,#
申請書類,（様式第2号）北九州市地域クラブ認定要件確認書（Word）,#
申請書類,（参考様式）会則（Word）,#
申請方法,以下のいずれかの方法で申請してください。<br>①申請書類を生徒指導課に持参又は郵送<br>②北九州市地域クラブ認定申請フォーム（外部リンク）から電子申請,
