種類,テキスト,URL
本文,地域クラブ活動の推進に係る計画・会議等に関する情報を掲載しています。,
計画,北九州市部活動地域展開推進計画（PDF）,https://www.city.kitakyushu.lg.jp/files/001146705.pdf
計画,北九州市部活動及び地域クラブ活動の在り方に関する総合的なガイドライン（PDF）,https://www.city.kitakyushu.lg.jp/kyouiku/03200050.html
参考,（参考）「北九州市部活動地域移行(展開)推進計画」の策定に係る市民意見の募集結果について(外部リンク),https://www.city.kitakyushu.lg.jp/kyouiku/032_00034.html
会議,地域クラブ活動の円滑な推進に関する市民会議（令和8年）,https://www.city.kitakyushu.lg.jp/kyouiku/02800302.html
会議,（参考）北九州市部活の未来を考える会(令和5年～令和7年) (外部リンク),https://www.city.kitakyushu.lg.jp/kyouiku/03200059.html
