種別,日時,会場,参加申し込みへのリンク
指導者研修会,令和8年9月16日(水) 18:30-20:00,北九州市立男女共同参画センター・ムーブ　５階 大セミナールーム,https://kitakyushu-city01.form.kintoneapp.com/public/01-859-6-coach
指導者研修会,令和8年9月29日(火) 18:30-20:00,北九州市立男女共同参画センター・ムーブ　５階 大セミナールーム,https://kitakyushu-city01.form.kintoneapp.com/public/01-859-6-coach
指導者研修会,令和8年10月22日(木) 18:30-20:00,北九州市立男女共同参画センター・ムーブ　５階 大セミナールーム,https://kitakyushu-city01.form.kintoneapp.com/public/01-859-6-coach
指導者研修会,令和8年10月27日(火) 18:30-20:00,北九州市立男女共同参画センター・ムーブ　５階 大セミナールーム,https://kitakyushu-city01.form.kintoneapp.com/public/01-859-6-coach
指導者研修会,令和8年11月17日(火) 18:30-20:00,北九州市立男女共同参画センター・ムーブ　５階 大セミナールーム,https://kitakyushu-city01.form.kintoneapp.com/public/01-859-6-coach
指導者研修会,令和8年10月27日(水) 18:30-20:00,北九州市立男女共同参画センター・ムーブ　５階 大セミナールーム,https://kitakyushu-city01.form.kintoneapp.com/public/01-859-6-coach
