種類,テキスト,URL,画像URL
本文,部活動は、学校教育の一環と位置付けられ、連帯感や責任感、自己肯定感を育むことに資するなど、教育的意義の高い活動とされてきました。一方で、少子化の進展により、学校単位で部活動を運営・維持することが困難となる例も生じてきています。,,
本文,こうした中で北九州市は、国の方針にも基づき、段階的に休日の部活動を行わないこととし、かわりに、休日には地域クラブ活動を行うこととしました。地域クラブ活動は、教育委員会が認定したクラブで行う活動で、様々な種目・分野があり、違う学校の仲間と交流しながら活動することもできます。,,
本文,「学校頼みの活動から、まち全体で支える活動へ」－いま、進められている部活動の改革は、北九州市のこどもたちが、将来にわたってスポーツ・文化芸術活動に親しむことができるよう、まちの様々な人たちの協力も受けて、行われているものです。,,
本文,こどもたちが1人1人が、自己実現につながるチャレンジができる環境をしっかりと整えていくため、取組を進めていきます。,,
動画,説明動画を見る（約4分50秒）※外部サイトにリンク,https://www.youtube.com/watch?v=fUHo7rc3J8Q&t=5s,image/youtube.png
資料,地域クラブ活動の推進に関するポスター・リーフレット（ＰＤＦ）,#,
資料,地域クラブ活動の推進に関する説明資料（ＰＤＦ）,#,
